invima,url_cv,precio_cv,precio_fm,url_fm
2020M-014625-R3,https://www.cruzverde.com.co/medicamentos/alergias/loratadina-10-mg-tabletas-cajas-x-20/COCV_60341.html,7900,7350,https://www.farmatodo.com.co/producto/214150071-loratadina-10mg-ag-caja
NSOC34260-09CO,https://www.cruzverde.com.co/medicamentos/alergias/crema-sodermix-tubo-x-30-gr/COCV_86470.html,157035,150950,https://www.farmatodo.com.co/producto/1041721-sodermix-2-crema-tubo
2023M-012964-R4,https://www.cruzverde.com.co/medicamentos/alergias/loratadina-10mg-tableta-caja-x-10-tabletas/COCV_75227.html,5150,4650,https://www.farmatodo.com.co/producto/1000690-loratadina-mk-10mg
2008M-0008745,https://www.cruzverde.com.co/medicamentos/alergias/cetirizina-10mg-tableta-recubierta-caja-x-10-tabletas/COCV_80305.html,8503,8250,https://www.farmatodo.com.co/producto/1032329-cetirizina-mk-10mg
2021M-0009967-R1,https://www.cruzverde.com.co/medicamentos/alergias/inflacor-retard-im-33mg1ml33mgml-suspencion-inyeccion-caja-x-1-ampolla--jeringa/COCV_33152.html,37383,36200,https://www.farmatodo.com.co/producto/1001815-inflacor-retard-3mg
2019M-011317-R3,https://www.cruzverde.com.co/medicamentos/analgesicos/motrin-tabletas-recubiertas-800mg-blister-x-10/COCV_19145.html,35768,31100,https://www.farmatodo.com.co/producto/1004015-fraccion-motrin-800mg
2019M-0007159-R1,https://www.cruzverde.com.co/medicamentos/analgesicos/arcoxia-90mg-caja-x-14-tabletas/COCV_58593.html,117610,108950,https://www.farmatodo.com.co/producto/1026558-arcoxia-90mg-tabletas
2020M-0013066-R1,https://www.cruzverde.com.co/medicamentos/analgesicos/acetaminofencodeina-32530mg-tabletas--caja-x-30-mk/COCV_147289.html,45790,41500,https://www.farmatodo.com.co/producto/274450851-acetaminofen--codeina
2008M-0008561X12,https://www.cruzverde.com.co/medicamentos/gripa-y-tos/noxpirin-sinus-tabletas-recubiertas-caja-x-12/COCV_99375.html,14155,11000,https://www.farmatodo.com.co/producto/102261922-oft-noxpirin-sinus-pague
2019M-012623-R2,https://www.cruzverde.com.co/medicamentos/analgesicos/motrin-600mg-blister-x10-tabletas/COCV_63988.html,25318,22350,https://www.farmatodo.com.co/producto/1029222-fraccion-motrin-600mg
2023M-011163-R3,https://www.cruzverde.com.co/medicamentos/alivio-del-dolor/procto-glyvenol-caja-x-5-supositorios/COCV_20165.html,64743,61000,https://www.farmatodo.com.co/producto/1001396-proctoglyvenol-antihemorroidal-5-supositorios
2022M-0007037-R1,https://www.cruzverde.com.co/medicamentos/alivio-del-dolor/benzirin-rosa-050-polvo-sobre-individual/COCV_18770.html,12968,10300,https://www.farmatodo.com.co/producto/1004068-fraccion-benzirin-rosa
2022M-0018037-R1,https://www.cruzverde.com.co/medicamentos/alivio-del-dolor/sperti-preparation-h-unguento-3.50.25518--tubo-x-20gr--3canulas/COCV_164737.html,105640,76580,https://www.farmatodo.com.co/producto/202450106-sperti-preparation-h
2013M-0014774X6,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/albisec-one-caja-x-6-tabletas-recubiertas/COCV_125065.html,107635,102100,https://www.farmatodo.com.co/producto/1047079-albisec-one
2023M-002312-R5,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/bactrim-f-tabletas-160mg800mg-caja-x-10/COCV_18769.html,55900,51960,https://www.farmatodo.com.co/producto/1000169-bactrim-f-800160mg-tab
2023M-0012443-R2,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/vaginsol-f-ovulos-vaginales-200100mg-caja-x-3/COCV_105643.html,94525,89000,https://www.farmatodo.com.co/producto/288500492-vaginsol-f-clotrimazol
2022M-0011783-R2,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/nitazoxanida-100mg5ml2-gran-suspencion-oral--frasco-x-60ml-mk/COCV_114949.html,53580,50150,https://www.farmatodo.com.co/producto/1044185-nitazoxanida-mk-100mg
2021M-0007746-R1,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/quanox-0.6-solucion-oral-gotas-frasco-x-5-ml/COCV_19104.html,29900,27800,https://www.farmatodo.com.co/producto/1002269-quanox-06-sol-oral
2020M-014711-R3,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/amoxidal-duo-750mg5ml-polvo-suspension-oral-frasco-x-120-ml/COCV_107059.html,61513,47950,https://www.farmatodo.com.co/producto/1001847-amoxidal-duo-750mg
2017M-014805-R2,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/gynoflor-102-crema-vaginal-tubo-x-40-gr/COCV_19183.html,48830,38360,https://www.farmatodo.com.co/producto/1001700-gynoflor-210-crema
2022M-015012-R3,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/tromix-500mg-caja-x-3-tabletas/COCV_19058.html,100463,98950,https://www.farmatodo.com.co/producto/1001916-tromix-500mg-tableta
2016M-0004917-R1,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/virex-400mg-caja-x-35-tabletas/COCV_18701.html,203253,91100,https://www.farmatodo.com.co/producto/237150015-furoato-de-mometasona
2022M-004567-R3,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/tindazol-genfar-1gr-caja-x-4-tabletas/COCV_30248.html,5035,5000,https://www.farmatodo.com.co/producto/1001035-tinidazol-genfar-1g
2021M-0008761-R1,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/amoxicilina-125mg5ml2.5-polvo-suspension-oral--frasco-x-45ml-mk/COCV_66448.html,11590,10450,https://www.farmatodo.com.co/producto/255000467-amoxicilina-125mg5ml-mk
2020M-000743-R3,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/amoxicilina-500mg-c-blister-x-10-capsulas/COCV_75236.html,6365,6250,https://www.farmatodo.com.co/producto/1014231-fraccion-amoxicilina-mk
2019M-0014968-R1,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/lomecan-v-2-crema-vaginal-tubo-x-20g/COCV_127346.html,40138,9750,https://www.farmatodo.com.co/producto/218650241-secnidasol-500mg-la
2009M-0009140,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/bexon-duo-capsulas-blandas-vaginales-100mg400mg-caja-x-7/COCV_81176.html,131480,125950,https://www.farmatodo.com.co/producto/1032441-bexon-duo-100400mg
2020M-0009749-R1,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/gynclox-ovulos-200mg100mg-caja-x-3-tabletas-vaginal/COCV_59996.html,102980,97150,https://www.farmatodo.com.co/producto/1027506-gynclox-200100mg-ovu
2021M-005849-R4,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/ampicilina-mk-500mg-blister-x-10-capsulas/COCV_97485.html,8170,4600,https://www.farmatodo.com.co/producto/1010688-fraccion-ampicilina-mk
2022M-0006158-R2,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/dicloxacilina-500mg-capsula-x-1-blister-mk/COCV_63954.html,9738,6100,https://www.farmatodo.com.co/producto/1011252-fraccion-dicloxacilina
2020M-0002613-R2,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/metronidazol-250mg5ml5-suspension-oral--frasco-x-120ml-mk/COCV_75254.html,21043,17950,https://www.farmatodo.com.co/producto/266700320-metronidazol-mk-250mg5ml-frasco-x-120-ml
2022M-13540-R2,https://www.cruzverde.com.co/medicamentos/antiinfecciosos-antibioticos-y-antiparasitario/secnidazol-1000mg-tableta--caja-x-2-mk/COCV_63962.html,42133,39000,https://www.farmatodo.com.co/producto/1000945-secnidazol-mk-1g-tableta
2023M-001799-R3,https://www.cruzverde.com.co/medicamentos/anticonceptivos-y-tratamientos-hormonales/ovestin-ovulos-vaginales-0.5mg-caja-x-15/COCV_58965.html,53438,52950,https://www.farmatodo.com.co/producto/1024949-ovestin-05mg-ovulo
2019M-003819-R4,https://www.cruzverde.com.co/medicamentos/anticonceptivos-y-tratamientos-hormonales/neogynon-caja-x-21-grageas/COCV_19813.html,7505,6550,https://www.farmatodo.com.co/producto/1000777-neogynon-grageas-caja
2021M-0001881-R2,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/losartan-potasico-50mg-tabletas-recubiertas-caja-x-30-la-sante/COCV_43524.html,17865,17400,https://www.farmatodo.com.co/producto/211100749-losartan-potasico-la
2020M-0012784-R1,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/warfarina-5mg-tableta--caja-x-30-mk/COCV_114948.html,57855,56850,https://www.farmatodo.com.co/producto/1044184-warfarina-mk-5mg-tableta
2020M-0007060-R1,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/exforge-tabletas-con-cubierta-pelicular--5mg80mg-caja-x-28/COCV_59180.html,27313,27300,https://www.farmatodo.com.co/producto/226200347-exforge-805mg
2016M-0016726,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/anemikids-600mg-frasco-x-120-ml-solucion-oral/COCV_135684.html,79900,79500,https://www.farmatodo.com.co/producto/231750052-anemikids-gotas-6mgml
2020M-0010516-R1,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/nabila-2.5mg-caja-x-28-comprimido/COCV_99509.html,35673,34250,https://www.farmatodo.com.co/producto/1035549-nabila-25mg-comprimidos
2023M-000196-R3,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/ginkgo-biloba-mk-40mg-caja-x-20-tabletas/COCV_75244.html,17730,15200,https://www.farmatodo.com.co/producto/1019995-ginkgo-biloba-mk-40mg
2023M-0014850-R1,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/hidroclorotiazida-tabletas-12.5mg-caja-x-30/COCV_120126.html,6840,6550,https://www.farmatodo.com.co/producto/1047833-hidroclorotiazida-mk
2022M-006135-R3,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/betaloc-zok-tabletas-liberacion-prolongada-50mg-caja-x-30/COCV_111989.html,20995,17955,https://www.farmatodo.com.co/producto/1043752-betaloc-zok-50mg-com
2017M-0017904,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/bi-preterax-2.510mg-tabletas-recubiertas-caja-x-30/COCV_107822.html,50730,26950,https://www.farmatodo.com.co/producto/1041603-bi-preterax-5mg
2009M-0009500,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/natrilix-sr-1.5mg-caja-x-30-tabletas-liberacion-prolongada/COCV_136383.html,12683,12450,https://www.farmatodo.com.co/producto/1053260-natrilix-sr-15mg
2021M-0002062-R2,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/betaloc-zok-25mg-caja-x-30-tabletas-liberacion-prolongada/COCV_113406.html,11163,9360,https://www.farmatodo.com.co/producto/1044927-betaloc-zok-25mg
2022M-0011802-R2,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/iltux-20mg-caja-x-28-tabletas/COCV_99815.html,27930,27200,https://www.farmatodo.com.co/producto/220400364-iltux-20gr-tecnofarma
2015M-000122-R2,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/cardio-aspirina-tabletas-cubierta-enterica-100mg-caja-x-30/COCV_20220.html,57333,37975,https://www.farmatodo.com.co/producto/1003630-cardioaspirina-100mg
2021M-0001674-R2,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/valsartan-80mg-capsula-caja-x-30-mk/COCV_541191.html,19475,17650,https://www.farmatodo.com.co/producto/248400016-valsartan-mk-80mg-caja
2016M-0011289-R1,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/losartanhidroclorotiazida-12.550mg-tableta-recubierta-caja-x-15/COCV_104629.html,36623,29655,https://www.farmatodo.com.co/producto/222150047-losartan-50mg
2023M-002010-R3,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/flunarizina-10mg-tabletas-caja-x-30-mk/COCV_541008.html,14583,13750,https://www.farmatodo.com.co/producto/252500010-flunarizina-10mg-mk-caja
2021M-0016455-R1,https://www.cruzverde.com.co/medicamentos/corazon-y-sistema-circulatorio/bisoprolol-mk-2.5mg-frasco-x-30-tabletas-recubierta/COCV_157887.html,9975,9100,https://www.farmatodo.com.co/producto/1060939-bisoprolol-mk-25mg-caja
2023M-0013183-R2,https://www.cruzverde.com.co/medicamentos/dermatologicos/unesia-unguento-antimicotico-20gr/COCV_109280.html,31160,12650,https://www.farmatodo.com.co/producto/1000713-meloxicam-la-sante-75mg
2020M-0015746-R1,https://www.cruzverde.com.co/medicamentos/dermatologicos/clinacyn-gel-topico-tubo-x-30-gr/COCV_129595.html,111768,33105,https://www.farmatodo.com.co/producto/1051640-clinacyn-gel-011-gel
2023M-008385-R4X20,https://www.cruzverde.com.co/medicamentos/dermatologicos/baycuten-n-crema-via-topica-tubo-x-20-gr/COCV_20479.html,28643,22600,https://www.farmatodo.com.co/producto/1001963-baycuten-n-crema-tubo
2023M-008385-R4X35,https://www.cruzverde.com.co/medicamentos/dermatologicos/baycuten-n-crema-10.50.04-tubo-x-35-gr/COCV_20482.html,49828,39600,https://www.farmatodo.com.co/producto/1001518-baycuten-n-crema-tubo
2020M-0003989-R2,https://www.cruzverde.com.co/medicamentos/dermatologicos/dermosupril-emulsion-frasco-x-120-ml/COCV_52771.html,76570,74300,https://www.farmatodo.com.co/producto/1019131-dermosupril-005-emul
2023M-0000731-R3,https://www.cruzverde.com.co/medicamentos/dermatologicos/desonida-0.05-emul-topico--frasco-x-120ml/COCV_98495.html,49428,20300,https://www.farmatodo.com.co/producto/1021130-desonida-siegfried-005
2015M-0011155-R1,https://www.cruzverde.com.co/medicamentos/gripa-y-tos/deslodex-d-2.520mg-caja-x-10-capsulas/COCV_96780.html,87210,86300,https://www.farmatodo.com.co/producto/1034684-deslodex-d-2520mg-cap
2021M-0014051-R1,https://www.cruzverde.com.co/medicamentos/gripa-y-tos/jgb-bronquisol-forte-tos-x-120ml/COCV_121936.html,36480,34500,https://www.farmatodo.com.co/producto/218900010-bronquisol-jarabe
2015M-0015708,https://www.cruzverde.com.co/medicamentos/gripa-y-tos/sinutab-plus-ns-congestion-y-gripe-tabletas-recubiertas-5005mg-caja-x-12/COCV_142011.html,19238,18900,https://www.farmatodo.com.co/producto/1032756-sinutab-plus-ns-dia-caja
2015M-0000112-R2,https://www.cruzverde.com.co/medicamentos/gripa-y-tos/mucosina-gotas-pediatricas-solucion-oral-frasco-x-30ml/COCV_21440.html,21280,21000,https://www.farmatodo.com.co/producto/1003808-mucosina-gotas-pediatrica-alivia-la-tos-x-30-ml
2021M-003338-R3X6,https://www.cruzverde.com.co/medicamentos/gripa-y-tos/pax®-dia-sobres-granulos-50010mg-caja-x-6/COCV_96281.html,14630,2450,https://www.farmatodo.com.co/producto/256050052-fracc-pax-dia-naranja
2018M-001160-R4,https://www.cruzverde.com.co/medicamentos/gripa-y-tos/nasivin-adultos-solucion-nasal-0.05-frasco-x-10ml/COCV_162286.html,30305,30250,https://www.farmatodo.com.co/producto/107611848-nasivin-solucion-nasal
2019M-0014991-R1,https://www.cruzverde.com.co/medicamentos/gripa-y-tos/tukol-d-jarabe-para-la-tos-adultos-y-ninos-solucion-oral-frasco-x-125-ml/COCV_128449.html,31255,15050,https://www.farmatodo.com.co/producto/1000712-meloxicam-la-sante-15mg
2014DM-0012196,https://www.cruzverde.com.co/medicamentos/gripa-y-tos/isotonico-baby-sol-agua-dmar-marimer-frasco-x-100-ml/COCV_123981.html,81748,81350,https://www.farmatodo.com.co/producto/1048962-marimer-baby-spray
2018DM-0018819X100,https://www.cruzverde.com.co/medicamentos/gripa-y-tos/tonimer-spray-baby-solucion-isotonica-frasco-x-100-ml/COCV_75724.html,72723,71450,https://www.farmatodo.com.co/producto/1031691-tonimer-baby-spray-fco
2015DM-0014204X120,https://www.cruzverde.com.co/medicamentos/gripa-y-tos/sinus-rinse-pediatrico-caj-x-120-sob---neilmed/COCV_161438.html,142400,131950,https://www.farmatodo.com.co/producto/105461903-sinu-rinse-pediatrico
2018DM-0018819X125,https://www.cruzverde.com.co/medicamentos/gripa-y-tos/tonimer-spray-normal-x-125-ml/COCV_75722.html,78185,75950,https://www.farmatodo.com.co/producto/1032963-tonimer-normal-spray
2018DM-0018819,https://www.cruzverde.com.co/medicamentos/gripa-y-tos/tonimer-lab-strong-spray-frasco-x-200ml/COCV_141506.html,78480,75950,https://www.farmatodo.com.co/producto/1032104-tonimer-soft-spray
MH2016-0000374-R1,https://www.cruzverde.com.co/medicamentos/naturales-y-fitoterapeuticos/gripp-heel-medicamento-homeopatico-multiples-componentes-caja-x-50-tabletas/COCV_101320.html,75620,64600,https://www.farmatodo.com.co/producto/1028034-gripp-heel-tabletas-caja
2018M-0012561-R1,https://www.cruzverde.com.co/medicamentos/sistema-respiratorio/fisioline-suero-fisilogico-esteril-9mgml0.9-solucion-nasal--frasco-x-30ml/COCV_19918.html,9880,9450,https://www.farmatodo.com.co/producto/1003054-fisioline-sol-frascox30ml-quibi-cloruro-de-sodio
MH2019-0000697-R1X30,https://www.cruzverde.com.co/medicamentos/naturales-y-fitoterapeuticos/oscillococcinum-caja-x-30-dosis/COCV_387009.html,97708,96050,https://www.farmatodo.com.co/producto/221050124-oscillococcinum-x30-dosis
PFT2024-0001663-R1,https://www.cruzverde.com.co/medicamentos/sistema-respiratorio/mieltertos-con-miel-y-propoleo-solucion-oral-frasco-x-240ml/COCV_103888.html,32205,2450,https://www.farmatodo.com.co/producto/1044062-mieltertos-pastillas
2016M-0011308-R1,https://www.cruzverde.com.co/medicamentos/sistema-respiratorio/symbicort-rapihaler-suspension-inhalador-bucal-804.5mcg-frasco-x-120-dosis/COCV_140786.html,63270,57450,https://www.farmatodo.com.co/producto/1054500-symbicort-rapihaler
2020M-0007822-R1,https://www.cruzverde.com.co/medicamentos/sistema-respiratorio/avamys-27.5mcgdosis-suspension-inhalacion-frasco-x-120-dosis/COCV_71774.html,32300,31950,https://www.farmatodo.com.co/producto/1029312-avamys-275mcg-spray
2019M-0019068,https://www.cruzverde.com.co/medicamentos/sistema-respiratorio/filinar-g-5mgml-gel-oral-frasco-x-120ml/COCV_498763.html,49305,47450,https://www.farmatodo.com.co/producto/211150156-filinar-g-eurofarma
2017M-015087-R2,https://www.cruzverde.com.co/medicamentos/sistema-respiratorio/flixotide-50mcg-aerosol-frasco-x-120-dosis/COCV_30650.html,27455,27100,https://www.farmatodo.com.co/producto/1001804-flixotide-50mcg
2022M-011521-R2,https://www.cruzverde.com.co/medicamentos/sistema-respiratorio/lincomicina-600mg2ml300mgml-solucion-inyectabletasle-cajas-x-1ampolla-x-2ml-vitalis/COCV_543052.html,4513,4500,https://www.farmatodo.com.co/producto/209050130-lincomicina-vitalis
2023M-010211-R3X8,https://www.cruzverde.com.co/medicamentos/salud-digestiva/sal-de-frutas-lua-sobre-polvo-efervescente-limon-caja-x-8-sobres-x-5g/COCV_160552.html,24843,23700,https://www.farmatodo.com.co/producto/1003745-sal-de-frutas-lua-limon
PFM2014-0002369,https://www.cruzverde.com.co/medicamentos/salud-digestiva/ciruelax-forte-jalea-laxante-frasco-x-300gr/COCV_128691.html,65218,57060,https://www.farmatodo.com.co/producto/208300029-ciruelax-forte-jalea
PFM2012-0001977,https://www.cruzverde.com.co/medicamentos/salud-digestiva/hepatodren-caja-x-60-capsulas/COCV_118803.html,50635,47250,https://www.farmatodo.com.co/producto/1051454-hepatodren-triple-accion
2013M-0002609-R1,https://www.cruzverde.com.co/medicamentos/salud-digestiva/dulcolax-p-7.5mgml-solucion-oral-frasco-x-15-ml/COCV_63380.html,38400,37950,https://www.farmatodo.com.co/producto/1024888-dulcolax-p-gotas-x-15-ml
2013M-0002362-R1X360,https://www.cruzverde.com.co/medicamentos/salud-digestiva/leche-magnesia-phillips-suspension-oral-original-8.5gr100ml-frasco-x-360ml/COCV_20404.html,37145,36950,https://www.farmatodo.com.co/producto/1014512-leche-de-magnesia
2023M-0006209-R2,https://www.cruzverde.com.co/medicamentos/salud-digestiva/lass-supositorios-laxante-adulto-2.3gr-sobre-x-5-supositorios/COCV_127366.html,8123,7200,https://www.farmatodo.com.co/producto/1043274-fraccion-lass-adulto
PFM2014-0002328,https://www.cruzverde.com.co/medicamentos/salud-digestiva/drenabyl-multiples-componentes-jarabe-frasco-x-120ml/COCV_141934.html,41515,31960,https://www.farmatodo.com.co/producto/1055911-drenabyl-jarabe-fco-x
2010M-0010833,https://www.cruzverde.com.co/medicamentos/salud-digestiva/enematrol-59.4161mg-ml-5.916.1-solucion-oral-frasco-por-133-ml-maracuya/COCV_97460.html,23798,23050,https://www.farmatodo.com.co/producto/251750017-enematrol-oral-limon-frasco-x133-ml-quibi
2023M-0018445-R1,https://www.cruzverde.com.co/medicamentos/salud-digestiva/peg-polietilenglicol-3350-g-polvo-solucion-oral-frasco-x-160-g-tecnoquimicas/COCV_164542.html,68115,5950,https://www.farmatodo.com.co/producto/1050457-fraccion-peg-17g-polvo
2023M-013059-R4X20,https://www.cruzverde.com.co/medicamentos/salud-digestiva/bis-bacter-tabletas-masticables-262mg-caja-x-20/COCV_20086.html,49495,48950,https://www.farmatodo.com.co/producto/1001268-bis-bacter-x20-tabletas
2021M-0015571-R1,https://www.cruzverde.com.co/medicamentos/salud-digestiva/genoprazol-caja-14-capsulas-10-mg/COCV_126723.html,16388,7000,https://www.farmatodo.com.co/producto/1049583-capsula-genoprazol-omeprazol-10-mg-x14cap
2020M-0004455-R2X30,https://www.cruzverde.com.co/medicamentos/salud-mental/lyrica-75mg-caja-x-30-capsulas/COCV_123527.html,47405,47400,https://www.farmatodo.com.co/producto/1048468-lyrica-75mg-capsulas
2019M-0010260-R1,https://www.cruzverde.com.co/medicamentos/salud-mental/theralite-tabletas-300mg-caja-x-50/COCV_121897.html,52298,9900,https://www.farmatodo.com.co/producto/1004152-frac-theralite-300mg-x
2014M-0003327-R1,https://www.cruzverde.com.co/medicamentos/salud-mental/valcote-er-tabletas-liberacion-prolongada-250mg-caja-x-30/COCV_45767.html,37240,35950,https://www.farmatodo.com.co/producto/1022730-valcote-er-250mg-tableta
2017M-0012354-R1,https://www.cruzverde.com.co/medicamentos/salud-mental/preludyo-75mg/COCV_101697.html,18430,18150,https://www.farmatodo.com.co/producto/1039354-preludyo-75mg-capsula
PFTI2021-0002763,https://www.cruzverde.com.co/medicamentos/salud-mental/lasea-80mg-capsulas-blandas-cajas-x-28/COCV_537347.html,81368,76500,https://www.farmatodo.com.co/producto/249250507-lasea-80mg--caja-x28
2020M-0010330-R1,https://www.cruzverde.com.co/medicamentos/salud-mental/neurontin-capsulas-300mg-caja-x-30/COCV_21985.html,14488,13950,https://www.farmatodo.com.co/producto/1000784-neurontin-300mg-tabletas
2016M-014764-R2,https://www.cruzverde.com.co/medicamentos/salud-mental/trileptal-oxcarbazepina-tabletas-recubiertas-600mg-caja-x-30/COCV_85990.html,44365,43950,https://www.farmatodo.com.co/producto/1034284-trileptal-600mg-tabletas
2023M-014844-R3,https://www.cruzverde.com.co/medicamentos/salud-visual-y-auditiva/albasol-liquifilm-solucion-oftalmica-frasco-x-15-ml/COCV_20003.html,37858,37300,https://www.farmatodo.com.co/producto/1000061-albasol-01-sol-oft
